Rank,video_id,title,channel_title,category_id,published_at,comment_count,trend_date
0,LpQXPbuwBCM,BINI | 'Shagidi' Official Music Video,BINI Official,22,614470,10244,2025-08-10
1,9Rr6JxZfuzI,"FPJ's Batang Quiapo August 8, 2025 Advance Episode Trailer",Dramaserye TV,1,167281,128,2025-08-10
2,gUeW1lYXmlg,EVERYTHING WENT WRONG AT ROBLOX SCHOOL | School's Out Story,PlayofEL,20,182424,82,2025-08-10
3,35Z8hR1DBNM,Kamikazee feat. Basti Artadi - Halik | Tower Sessions,TOWERofDOOM,10,404540,3540,2025-08-10
4,PAatdqD5q8M,"FPJ’s Batang Quiapo August 11, 2025 Advance Trailer",Daily Serye,22,83726,15,2025-08-10
5,qPWpk68E9lo,Nag CAMPING kami KASAMA ang BABIES! (BROOKHAVEN RP TAGALOG),Chesca_YT,22,244536,182,2025-08-10
6,tIMjak_7Dso,"Golden - HUNTR/X ('Kpop Demon Hunters' soundtrack COVER) ♡, Morissette",Morissette,22,369770,2778,2025-08-10
7,H4459oyZYoo,One Punch Man Season 3 - Official Trailer (English Subtitles),IGN,24,1200745,2456,2025-08-10
8,-mhxt4Db5to,UMAY sa VEGETARIAN CHALLENGE ng Survive 99 Nights in Roblox the Forest,LazySly,20,224114,507,2025-08-10
9,CINpzyWIGoQ,Lollapalooza Chicago 2025 “Gabriela” Performance | KATSEYE,KATSEYE,10,2304709,5404,2025-08-10
10,3x4I-KiPytM,""" LIHIM, LUPA AT LABAN !! ""  AUG. 11, 2025 | FPJ's Batang Quiapo ADVANCE Trailer Episode645",Captain JD Entertainment,24,62337,23,2025-08-10
11,C0khR45D2kE,🔴 GRAND FINALS at LABAN PARA SA IKATLONG PUWESTO | MLBB MSC sa EWC 2025 | (FIL),MPL Philippines,20,1335846,123,2025-08-10
12,p-wt-3xpjOc,Mika Salamanca - 'Sino Nga Ba Siya' Official Lyric Video,ABS-CBN Star Music,10,122390,1921,2025-08-10
13,bBPwSvWP_Xc,"Charlie's Angels (2026) - First Trailer | Scarlett Johansson, Angelina Jolie - Concept Trailer",Ultimate Studios,24,550909,209,2025-08-10
14,LQxNYlXsgOs,How Big Can Bloodbath Get?,EYstreem,20,997238,1647,2025-08-10
15,nWjpA4Nbpe8,Top OPM Songs Philippines 2025 🎧 Saranggola - Ben & Ben | Best Tagalog Hits on Spotify & YouTube,Midnight Tears,22,232419,20,2025-08-10
16,9uIi3uCUNOA,skibidi toilet multiverse 047 (part 2) Trailer,DOM Studio,1,966705,4499,2025-08-10
17,MCYpXg9CNm8,I Stole The 6 NEWEST Brainrots..,CaylusBlox,20,2644450,3384,2025-08-10
18,woLfAvD5iXI,Chappell Roan - The Subway (Official Music Video),ChappellRoanVEVO,10,7562819,17380,2025-08-10
19,_BTqin37YgE,"FPJ's Batang Quiapo Aug 10,  Advance Episode Trailer | Batang Quiapo Coco Martin #batangquiapo",Health Information 4u,22,28281,11,2025-08-10
20,wIpo5V9h2R0,Using ADMIN COMMANDS to STEAL EVERYONES House in Minecraft!,Motong TV,20,129477,50,2025-08-10
21,taQM2LTt7ZE,Restless Heart - When She Cries (Lyrics),Orbital Music,24,70181,1,2025-08-10
22,Ofdpiim5vcU,"FPJ's Batang Quiapo August 6, 2025 Advance Episode Trailer | Batang Quiapo Coco Martin",Mahiwagang TV,24,53480,5,2025-08-10
23,pnow3A6Gz5E,Adopted by the SAJA BOYS in Minecraft!,Aphmau,20,1932843,3734,2025-08-10
24,puYfP8y-yJ0,Sa Panaginip Na Lang - Ashtine Olviga (Official Music Video),Ashtine Olviga,1,98058,2060,2025-08-10
25,VtjK1hlVenY,Wuthering Waves Story Trailer | To the Finale,Wuthering Waves,20,136171,2463,2025-08-10
26,eyWwGVEhhtU,grow a garden admin abuse (w/flamingo),KreekCraft,20,2495091,544,2025-08-10
27,vZSpbxKIJm8,Skusta Clee - Pahinga Na (Audio) ft. Yuridope & Bullet D,Skusta Clee TV,10,186366,711,2025-08-10
28,WwoPEYUlRl4,100 AWIT PARA KAY STELLA | Official Trailer,VIVA TV,24,29182,182,2025-08-10
29,SnSga5xxSYI,PALDO SA LUCKY BLOCK RAINBROT GOD SA STEAL A BRAINROT - Roblox,Kriphie,24,129122,878,2025-08-10
30,xEXdeZ3TRvg,"Oldies Love Songs 60s 70s 80s Greatest Hits💞Tom Jones,Victor Wood,Eddie Peregrina,Lord Soriano",OPM Slow Rock Medley,22,31355,1,2025-08-10
31,hpEy0iOixb4,HIM | Official Trailer,Universal Pictures,24,8877618,4103,2025-08-10
32,Z6q6Ps6tfC0,Mizumi Fell IN LOVE In Minecraft! ( Tagalog ),Mizumi - Minecraft,20,273468,444,2025-08-10
33,un10qn69W68,Nonstop Slow Rock Medley 💽 Best Lumang Tugtugin 🎼 Emerson Condino Nonstop Collection 2023,OPM Channel,10,48315,6,2025-08-10
34,57jJy4nB18A,We Found Mikey TALKING To a GHOST!,Maizen,20,842919,728,2025-08-10
35,fXivMSJm_kA,Justin Bieber - YUKON,Justin Bieber,10,8610547,11274,2025-08-10
36,CcXAQ6xhBsA,RIP TRALALERO TRALALA..,Tyler & Snowi,20,944183,427,2025-08-10
37,O_0Wn73AnC8,Ed Sheeran - A Little More (Official Music Video),Ed Sheeran,10,3663563,8032,2025-08-10
38,KOalr0VRHE8,MAYMAY captured by TUNG TUNG TUNG SAHUR in Roblox | Niligtas ako ni ESONI | Roblox Tagalog,Maymay TV,20,97012,35,2025-08-10
39,mX6zW9ibIjc,Relaxing Romantic Love Songs 🎵  Top Sweet Love Music Mix ❤️,Love Notes,22,44904,3,2025-08-10
40,cmVS1X9v8O8,I tested 23 HIDDEN SECRETS that NO ONE KNOWS in STEAL a BRAINROT..,gara,22,2524432,975,2025-08-10
41,NQMVRsyhQuU,"TOP AUG 2025 Tagalog Reggae Mix🎼Chocolate Factory, Tropa Vibes, Otab Inalab   🎧Reggae Music Tropa#3",Reggae Pinoy Hits,22,39347,2,2025-08-10
42,P-zHm9Yk_fQ,FINALLY NAKUHA KO NA! sa PINAKA OP STOCK EVENT ng GROW A GARDEN | Roblox | GROW A GARDEN | Kuya Tank,Kuya Tank - Roblox,20,207504,320,2025-08-10
43,jj_avfPf5pg,Goo Goo Dolls - Iris (lyrics),earth lyrics ,22,641713,14,2025-08-10
44,nqVAD1VIWPw,Playing as BRAINROT MOBS in Minecraft Hide and Seek!,JUNGKurt_,20,105870,56,2025-08-10
45,7IdteyW4x7c,"🎶 90's BOYBANDS Greatest Hits | Backstreet Boys, Westlife, NSync, A1, Blue & More",Musica Romantica,10,45044,18,2025-08-10
46,ORaTxZgMAnY,Finishing CRAZIEST Roblox Slap Tower!,Foltyn,20,764691,3661,2025-08-10
47,LeG3jPeeMec,Laufey - Snow White (Official Music Video),Laufey,10,671814,5140,2025-08-10
48,FCQsBchgar0,Hinabol si Esoni at Maymay ni Jollibee Barry sa Roblox | JOLLIBEE BARRY'S PRISON RUN (Tagalog),EsoniBlox,20,78959,71,2025-08-10
49,_oX27MD-wCA,Alicia Keys - No One (Lyrics),Musica Milagrosa,22,180536,6,2025-08-10
